série Name,série Code,pays Name,pays Code,2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Advanced economies,AME,2.4,2.2,1.6,1.4,1.5,1.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Afghanistan,AFG,2.7,1.8,2.5,3,3.5,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Albania,ALB,3.8,4.1,2.9,3.4,3.6,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Algeria,DZA,1.3,1.4,1.3,1.9,2.2,2.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Angola,AGO,-0.1,-1.2,-0.7,1.5,2.4,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Argentina,ARG,2.7,-2.5,-3.1,-1.3,1.4,2.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Armenia,ARM,7.5,5.2,6.9,5.1,5.2,5.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Azerbaijan,AZE,-0.3,1.4,2.5,2.3,2.1,2.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bahrain,BHR,3.8,2.2,2,2.1,2.4,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bangladesh,BGD,7.3,7.9,8.1,7.2,7.3,7.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Belarus,BLR,2.5,3,1,0.9,0.5,0.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Belize,BLZ,1.9,2.1,2.7,2.1,1.8,1.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Benin,BEN,5.8,6.7,6.4,6.7,6.7,6.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bhutan,BTN,6.3,3.8,3.9,5.6,7.6,6.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bolivia,BOL,4.2,4.2,2.2,3,3.2,3.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bosnia and Herzegovina,BIH,3.2,3.6,3.1,3.4,3.9,3.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Botswana,BWA,2.9,4.5,4,4.1,4.2,4.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Brazil,BRA,1.3,1.3,1.1,2,2.5,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bulgaria,BGR,3.5,3.1,3.6,3,3.1,3.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Burkina Faso,BFA,6.3,6.8,6,6,6,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Burundi,BDI,0.5,1.6,1.8,2,2.1,2.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cabo Verde,CPV,3.7,5.1,5,5,5,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cambodia,KHM,7,7.5,7,6.8,6.8,6.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cameroon,CMR,3.5,4.1,4,4.2,4.3,4.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Chad,TCD,-3,2.6,3,5.5,4.8,4.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Chile,CHL,1.3,4,1.3,2.5,3,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,China,CHN,6.8,6.6,6.1,5.9,5.8,5.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Colombia,COL,1.4,2.6,3.3,3.6,3.9,3.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Comoros,COM,3.8,3.4,1.7,4.8,3.7,3.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Congo, Dem. Rep.",COD,3.7,5.8,4.3,3.9,3.4,3.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Congo, Rep.",COG,-1.8,1.6,2.2,4.6,1.9,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Costa Rica,CRI,3.4,2.6,2,2.5,3,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cote d'Ivoire,CIV,7.7,7.4,7.3,7,7.1,7.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Croatia,HRV,3.1,2.7,2.9,2.6,2.4,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Djibouti,DJI,5.1,5.5,7.2,7.5,8,8.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Dominican Republic,DOM,4.7,7,5.3,5,5,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,East Asia and Pacific,EAA,6.5,6.3,5.8,5.7,5.6,5.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Ecuador,ECU,2.4,1.4,-0.3,0.2,0.8,1.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Egypt, Arab Rep.",EGY,4.2,5.3,5.6,5.8,6,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,El Salvador,SLV,2.3,2.5,2.4,2.5,2.5,2.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Emerging Markets and Developing Economies (EMDE),EMD,4.5,4.3,3.5,4.1,4.3,4.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Equatorial Guinea,GNQ,-4.7,-6.1,-4.3,-2.3,1,-4.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Eswatini,SWZ,2,2.4,1.3,2.6,2.5,2.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Ethiopia,ETH,10,7.9,9,6.3,6.4,7.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Euro Area,E19,2.5,1.9,1.1,1,1.3,1.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Europe and Central Asia,ECH,4.1,3.2,2,2.6,2.9,2.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Fiji,FJI,5.2,4.2,1,1.7,2.9,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Gabon,GAB,0.5,0.8,2.9,3,3.2,3.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Gambia, The",GMB,4.8,6.6,6,6.3,5.8,5.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Georgia,GEO,4.8,4.8,5.2,4.3,4.5,4.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Ghana,GHA,8.1,6.3,7,6.8,5.2,4.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Grenada,GRD,4.4,4.2,3.5,2.9,2.9,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Guatemala,GTM,2.8,3.1,3.4,3,3.2,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Guinea,GIN,10,5.8,5.9,6,6,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Guinea-Bissau,GNB,5.9,3.8,4.6,4.9,5,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Guyana,GUY,2.1,4.1,4.5,86.7,10.5,14.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Haiti,HTI,1.2,1.5,-0.9,-1.4,-0.5,1.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Honduras,HND,4.8,3.7,3.3,3.5,3.5,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Hungary,HUN,4.3,5.1,4.9,3,2.6,2.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,India,IND,7.2,6.8,5,5.8,6.1,6.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Indonesia,IDN,5.1,5.2,5,5.1,5.2,5.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,"Iran, Islamic Rep.",IRN,3.8,-4.9,-8.7,0,1,1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Iraq,IRQ,-2.5,-0.6,4.8,5.1,2.7,2.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Jamaica,JAM,1,1.9,1,1.1,1.2,2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Japan,JPN,1.9,0.8,1.1,0.7,0.6,0.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Jordan,JOR,2.1,1.9,2,2.2,2.4,2.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Kazakhstan,KAZ,4.1,4.1,4,3.7,3.9,3.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Kenya,KEN,4.9,6.3,5.8,6,5.8,5.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Kosovo,XKX,4.2,3.8,4,4.2,4.1,4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Kuwait,KWT,-3.5,1.2,0.4,2.2,2,2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Kyrgyz Republic,KGZ,4.7,3.5,4.2,4,4,4.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Lao PDR,LAO,6.9,6.3,5.2,5.8,5.7,5.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Latin America and the Caribbean,LAP,1.9,1.7,0.8,1.8,2.4,2.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Lebanon,LBN,0.6,0.2,-0.2,0.3,0.4,0.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Lesotho,LSO,-0.4,1.5,2.6,0.7,2.1,2.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Liberia,LBR,2.5,1.2,-1.4,1.4,3.4,4.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Madagascar,MDG,4.3,5.1,4.7,5.3,4.4,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Malawi,MWI,4,3.5,4.4,4.8,5.2,5.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Malaysia,MYS,5.7,4.7,4.6,4.5,4.5,4.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Maldives,MDV,6.9,6.7,5.2,5.5,5.6,5.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mali,MLI,5.3,4.7,5,5,4.9,4.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mauritania,MRT,3,3.6,6.4,5.7,5.8,8.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mauritius,MUS,3.8,3.8,3.9,3.9,4,4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mexico,MEX,2.1,2.1,0,1.2,1.8,2.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Middle East and North Africa,MNH,1.1,0.8,0.1,2.4,2.7,2.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Moldova,MDA,4.7,4,3.6,3.6,3.8,3.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mongolia,MNG,5.3,7.2,5.7,5.5,5.2,5.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Montenegro,MNE,4.7,5.1,3,3.1,2.8,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Morocco,MAR,4.2,3,2.7,3.5,3.6,3.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Mozambique,MOZ,3.7,3.4,2,3.7,4.2,4.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Myanmar,MMR,6.8,6.5,6.6,6.7,6.8,6.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Namibia,NAM,-0.9,-0.1,-0.5,0.9,1.7,1.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Nepal,NPL,8.2,6.7,7.1,6.4,6.5,6.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Nicaragua,NIC,4.7,-3.8,-5,-0.5,0.6,1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Niger,NER,4.9,6.5,6.3,6,5.6,11.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Nigeria,NGA,0.8,1.9,2,2.1,2.1,2.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,North Macedonia,MKD,0.2,2.9,3.1,3.2,3.3,3.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Oman,OMN,0.3,1.8,0,3.7,4.3,4.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Pakistan,PAK,5.2,5.5,3.3,2.4,3,3.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Panama,PAN,5.6,3.7,3.5,4.2,4.6,4.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Papua New Guinea,PNG,3.5,-0.8,5.6,2.9,2.9,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Paraguay,PRY,5,3.7,0.7,3.1,3.9,3.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Peru,PER,2.5,4,2.6,3.2,3.5,3.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Philippines,PHL,6.7,6.2,5.8,6.1,6.2,6.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Poland,POL,4.9,5.1,4.3,3.6,3.3,3.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Qatar,QAT,1.6,1.5,0.5,1.5,3.2,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Romania,ROU,7.1,4,3.9,3.4,3.1,3.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Russia,RUS,1.6,2.3,1.2,1.6,1.8,1.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Rwanda,RWA,6.1,8.6,8.5,8.1,8,8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Saudi Arabia,SAU,-0.7,2.4,0.4,1.9,2.2,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Senegal,SEN,7.1,6.8,6.3,6.8,7,7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Serbia,SRB,2,4.4,3.3,3.9,4,4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Seychelles,SYC,4.3,4.1,3.5,3.3,3.3,3.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sierra Leone,SLE,3.8,3.5,4.8,4.9,4.9,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Solomon Islands,SLB,3,3.5,2.9,2.8,2.8,2.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,South Africa,ZAF,1.4,0.8,0.4,0.9,1.3,1.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,South Asia,SAP,6.7,7.1,4.9,5.5,5.9,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sri Lanka,LKA,3.4,3.2,2.7,3.3,3.7,3.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,St. Lucia,LCA,2.6,0.9,1.8,3.2,3,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,St. Vincent and the Grenadines,VCT,1,2.2,2.3,2.3,2.3,2.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sub-Saharan Africa,SSP,2.7,2.6,2.4,2.9,3.1,3.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sudan,SDN,4.3,-2.3,-2.6,-1.4,-0.6,0.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Suriname,SUR,1.8,2.6,2.2,2.5,2.1,2.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tajikistan,TJK,7.1,7.3,6.2,5.5,5,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tanzania,TZA,6.8,5.4,5.6,5.8,6.1,6.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Thailand,THA,4,4.1,2.5,2.7,2.8,2.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Timor-Leste,TLS,-3.5,-1.1,4.2,4.6,4.9,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Togo,TGO,4.4,4.9,5.3,5.5,5.5,5.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Tunisia,TUN,1.8,2.5,1.6,2.2,2.6,2.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Turkey,TUR,7.5,2.8,0,3,4,4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Turkmenistan,TKM,6.5,6.2,5,5.2,5.5,5.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Uganda,UGA,3.9,5.9,6.1,6.5,5.9,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Ukraine,UKR,2.5,3.3,3.6,3.7,4.2,4.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,United Arab Emirates,ARE,0.5,1.7,1.8,2.6,3,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,United States,USA,2.4,2.9,2.3,1.8,1.7,1.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Uruguay,URY,2.6,1.6,0.5,2.5,3.5,3.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Uzbekistan,UZB,4.5,5.1,5.5,5.7,6,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Vietnam,VNM,6.8,7.1,6.8,6.5,6.5,6.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,West Bank and Gaza,PSE,3.1,0.9,0.5,2.5,2.6,2.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,World (WBG members),WLT,3.2,3,2.4,2.5,2.6,2.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Zambia,ZMB,4.1,3.1,1.8,2.6,2.6,4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Zimbabwe,ZWE,4.7,3.5,-7.5,2.7,2.5,2.8
